,V1.1,V2.1,V3.1,V4.1,V5.1,V6.1,V7.1,V8.1
1,500,500,500,500,500,500,177,500
2,177,500,500,500,500,500,500,500
3,500,500,500,500,500,500,177,500
4,500,500,177,500,500,500,177,500
5,500,500,500,500,500,500,177,500
6,500,500,500,500,500,500,175,500
7,176,500,177,168,177,500,176,175
8,500,175,500,177,500,500,500,500
9,103,162,166,85,173,168,31,113
10,146,172,167,161,500,500,134,165
11,167,175,500,153,177,177,168,171
12,78,162,158,117,173,169,73,105
13,141,172,169,152,500,500,131,168
14,177,500,500,500,500,500,500,500
15,177,500,500,176,500,500,500,500
16,175,500,500,174,500,177,174,177
17,500,500,500,500,500,500,174,500
18,500,500,500,500,177,177,500,500
19,172,500,177,500,500,500,176,175
20,500,500,500,500,500,500,176,500
21,165,175,177,165,500,500,174,176
22,500,177,500,500,500,500,177,500
23,93,166,166,83,172,177,1,103
24,164,174,175,166,500,500,136,168
25,168,175,175,165,500,500,167,168
26,98,169,165,125,174,171,83,120
27,159,173,177,154,176,177,131,160
28,177,500,500,500,500,500,500,500
29,176,500,500,176,177,500,172,176
30,500,500,500,177,500,500,177,177
31,177,500,500,177,500,500,500,500
32,174,500,500,177,500,500,173,174